level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],90.68432712,3.82,102.4809175
1,2008M02 [2008M02],91.07422862,3.68,108.4383902
2,2008M03 [2008M03],91.51832695,3.76,109.9721783
3,2008M04 [2008M04],91.87810448,3.62,119.9184504
4,2008M05 [2008M05],92.31628325,3.58,119.916614
5,2008M06 [2008M06],92.74985793,3.61,117.4948306
6,2008M07 [2008M07],93.12200076,3.84,109.3599962
7,2008M08 [2008M08],93.50664043,3.78,106.0519432
8,2008M09 [2008M09],94.05255514,3.86,95.63733091
9,2008M10 [2008M10],94.32182922,4.02,65.4506089
10,2008M11 [2008M11],94.75119444,4.54,60.08108882
11,2008M12 [2008M12],95.29250505,4.53,64.21205532
12,2009M01 [2009M01],95.71108352,4.67,59.81949357
13,2009M02 [2009M02],96.15636576,5,52.2433086
14,2009M03 [2009M03],96.65163538,4.96,51.63894099
15,2009M04 [2009M04],97.06074255,5.2,64.03879146
16,2009M05 [2009M05],97.25385166,5.6,72.79518758
17,2009M06 [2009M06],97.49892133,5.29,73.80690729
18,2009M07 [2009M07],97.79739855,5.46,75.84313598
19,2009M08 [2009M08],97.94788685,5.71,86.16620866
20,2009M09 [2009M09],98.33515743,5.99,86.66456753
21,2009M10 [2009M10],98.65270879,5.49,90.89820816
22,2009M11 [2009M11],98.79464662,5.29,93.68253152
23,2009M12 [2009M12],99.2541358,5.29,99.936725
24,2010M01 [2010M01],100,5.41,100
25,2010M02 [2010M02],100.4131851,5.11,97.04063996
26,2010M03 [2010M03],100.7654645,5.15,104.52372
27,2010M04 [2010M04],100.8741213,5.46,109.9591978
28,2010M05 [2010M05],101.109325,5.25,99.32535176
29,2010M06 [2010M06],101.2485004,5.14,100.5966061
30,2010M07 [2010M07],101.4594997,5.29,100.4340813
31,2010M08 [2010M08],101.5577644,5.02,101.0061379
32,2010M09 [2010M09],101.9253031,5.28,103.0105582
33,2010M10 [2010M10],102.1201223,5.33,111.9525306
34,2010M11 [2010M11],102.3621664,5.31,118.1632806
35,2010M12 [2010M12],102.8040285,5.51,122.5470049
36,2011M01 [2011M01],103.2740413,5.03,125.4074894
37,2011M02 [2011M02],103.6897258,5.26,123.26804
38,2011M03 [2011M03],103.9992528,5.11,121.8072
39,2011M04 [2011M04],104.0776541,5.2,127.2885046
40,2011M05 [2011M05],104.263002,5.37,121.9705528
41,2011M06 [2011M06],104.4646616,5.55,119.9587445
42,2011M07 [2011M07],104.6993391,5.21,123.8843634
43,2011M08 [2011M08],104.8248337,5.29,111.0639138
44,2011M09 [2011M09],105.1037106,5.07,104.7062042
45,2011M10 [2011M10],105.3761418,4.87,103.0262815
46,2011M11 [2011M11],105.7161875,5.07,106.270319
47,2011M12 [2011M12],106.2511839,5.02,106.6375923
48,2012M01 [2012M01],106.7272479,4.63,111.1664849
49,2012M02 [2012M02],107.1810806,5.29,119.0008467
50,2012M03 [2012M03],107.4429881,5.02,120.3692915
51,2012M04 [2012M04],107.6047893,4.91,120.5279066
52,2012M05 [2012M05],107.8906382,4.78,112.1446053
53,2012M06 [2012M06],108.1234741,4.82,109.9792949
54,2012M07 [2012M07],108.4602311,4.75,121.7213586
55,2012M08 [2012M08],108.7035907,4.94,122.8374267
56,2012M09 [2012M09],108.8960421,4.59,124.9138948
57,2012M10 [2012M10],109.1441373,4.91,129.9086465
58,2012M11 [2012M11],109.2005704,5.16,126.8598665
59,2012M12 [2012M12],109.3325107,4.89,134.5413828
60,2013M01 [2013M01],109.796604,5.17,142.2696028
61,2013M02 [2013M02],110.3554102,4.81,140.1750481
62,2013M03 [2013M03],110.6874316,4.98,139.0708701
63,2013M04 [2013M04],110.7759619,5.01,141.6891895
64,2013M05 [2013M05],110.9947224,4.97,134.743691
65,2013M06 [2013M06],111.1371864,5.03,122.1579666
66,2013M07 [2013M07],111.17494,4.87,127.2396397
67,2013M08 [2013M08],111.2753094,4.82,128.4541796
68,2013M09 [2013M09],111.6358762,4.97,125.5387469
69,2013M10 [2013M10],111.8502957,4.89,125.3030536
70,2013M11 [2013M11],112.0015733,4.59,124.8406336
71,2013M12 [2013M12],112.3685858,4.73,130.2167863
72,2014M01 [2014M01],113.3265017,4.88,126.2818515
73,2014M02 [2014M02],113.6457632,4.75,120.5335599
74,2014M03 [2014M03],113.8897805,5.33,118.9395763
75,2014M04 [2014M04],114.2212757,4.9,124.3878307
76,2014M05 [2014M05],114.3284854,4.95,129.4985027
77,2014M06 [2014M06],114.5714504,4.83,131.4779622
78,2014M07 [2014M07],114.7866592,5.19,135.3530605
79,2014M08 [2014M08],115.0304134,4.84,136.8489664
80,2014M09 [2014M09],115.3674335,4.76,138.079131
81,2014M10 [2014M10],115.5596218,4.65,130.4025066
82,2014M11 [2014M11],115.7460221,4.65,130.4335528
83,2014M12 [2014M12],116.01477,4.14,117.1040922
84,2015M01 [2015M01],115.9764901,4.38,114.1366328
85,2015M02 [2015M02],116.3708642,4.43,115.5997635
86,2015M03 [2015M03],116.6760503,4.29,114.9470816
87,2015M04 [2015M04],116.8577149,4.34,118.4711255
88,2015M05 [2015M05],116.9929439,4.44,118.1813508
89,2015M06 [2015M06],117.2373558,4.42,116.1130801
90,2015M07 [2015M07],117.4396731,4.48,112.602723
91,2015M08 [2015M08],117.6755346,4.39,105.4688468
92,2015M09 [2015M09],118.1120033,4.19,101.6315995
93,2015M10 [2015M10],118.408902,4.44,107.0099516
94,2015M11 [2015M11],118.450602,4.06,107.2352812
95,2015M12 [2015M12],118.8130104,4.33,100.9413757
96,2016M01 [2016M01],119.0422946,4.14,91.56836888
97,2016M02 [2016M02],119.4690289,4.27,93.62284622
98,2016M03 [2016M03],119.8969471,4.14,102.2961348
99,2016M04 [2016M04],120.1614855,3.81,104.0996911
100,2016M05 [2016M05],120.4182628,4.02,100.432999
101,2016M06 [2016M06],120.7245012,3.94,97.70678604
102,2016M07 [2016M07],120.9306333,3.81,100.2943535
103,2016M08 [2016M08],121.1597859,3.78,103.3692822
104,2016M09 [2016M09],121.736877,3.85,98.5391589
105,2016M10 [2016M10],122.0771858,3.58,101.7849001
106,2016M11 [2016M11],122.3511955,3.6,90.73073746
107,2016M12 [2016M12],122.8969787,3.65,88.58775787
108,2017M01 [2017M01],123.6083779,3.53,87.34088644
109,2017M02 [2017M02],124.5531392,3.48,93.31976984
110,2017M03 [2017M03],125.2663801,3.53,99.98429087
111,2017M04 [2017M04],125.8297904,3.46,104.9926951
112,2017M05 [2017M05],126.1761502,3.57,105.2787954
113,2017M06 [2017M06],126.5602637,3.26,108.5426186
114,2017M07 [2017M07],126.899257,3.26,114.5100059
115,2017M08 [2017M08],127.2214125,3.34,115.2179602
116,2017M09 [2017M09],127.5804007,3.34,113.0537694
117,2017M10 [2017M10],127.9025562,3.43,106.0892629
118,2017M11 [2017M11],128.3428397,3.49,101.8207825
119,2017M12 [2017M12],128.8805986,3.38,101.3627833
120,2018M01 [2018M01],129.2462957,3.32,106.9077221
121,2018M02 [2018M02],129.8773205,3.32,104.5942755
122,2018M03 [2018M03],130.3057649,3.25,102.394054
123,2018M04 [2018M04],130.4975585,3.38,104.9814859
124,2018M05 [2018M05],130.8328685,3.24,94.17883443
125,2018M06 [2018M06],131.1356868,3.37,91.55482631
126,2018M07 [2018M07],131.5119075,3.33,102.9188042
127,2018M08 [2018M08],131.83551,3.29,104.8064821
128,2018M09 [2018M09],132.2623758,3.34,103.983227
129,2018M10 [2018M10],132.6725354,3.17,98.52257005
130,2018M11 [2018M11],133.0063984,3.33,84.54785537
131,2018M12 [2018M12],133.6274257,3.63,82.69327877
132,2019M01 [2019M01],133.8935427,3.47,90.90486725
133,2019M02 [2019M02],134.4715546,3.42,90.44900747
134,2019M03 [2019M03],134.9344639,3.6,88.28983247
135,2019M04 [2019M04],135.5490455,3.47,94.3317186
136,2019M05 [2019M05],135.7712262,3.55,90.50423365
137,2019M06 [2019M06],136.1834905,3.54,90.30838741
138,2019M07 [2019M07],136.5370854,3.56,88.80171684
139,2019M08 [2019M08],136.8146468,3.55,81.5482051
140,2019M09 [2019M09],137.222307,3.52,87.62534373
141,2019M10 [2019M10],137.5599848,3.58,89.60432677
142,2019M11 [2019M11],137.8647763,3.5,90.09619683
143,2019M12 [2019M12],138.4305544,3.15,91.20844809
144,2020M01 [2020M01],138.8821508,3.66,95.55988883
145,2020M02 [2020M02],139.387681,3.7,93.88770752
146,2020M03 [2020M03],139.7969197,3.26,67.90999258
147,2020M04 [2020M04],140.2986351,3.26,57.11315776
148,2020M05 [2020M05],140.7176082,3.26,62.26412561
149,2020M06 [2020M06],141.2352406,3.26,68.21296784
150,2020M07 [2020M07],141.2352406,3.26,65.9644414