index,Core CPI,Unemployment rate,Stock Markets
2008M01 [2008M01],96.84305226,5,119.7387134
2008M02 [2008M02],97.17383205,4.9,118.6065176
2008M03 [2008M03],97.62819989,5.1,116.4511798
2008M04 [2008M04],97.71589288,5,120.8704838
2008M05 [2008M05],97.77087139,5.4,122.3588345
2008M06 [2008M06],97.94035059,5.6,115.1408113
2008M07 [2008M07],98.16389957,5.8,108.1283647
2008M08 [2008M08],98.3597321,6.1,110.1182993
2008M09 [2008M09],98.53511809,6.1,106.1391718
2008M10 [2008M10],98.60827131,6.5,87.63736195
2008M11 [2008M11],98.45696682,6.8,82.26874857
2008M12 [2008M12],98.1888898,7.3,82.08736308
2009M01 [2009M01],98.47014349,7.8,80.18348637
2009M02 [2009M02],98.90906282,8.3,73.44402186
2009M03 [2009M03],99.34252974,8.7,69.09849871
2009M04 [2009M04],99.57153113,9,76.32453314
2009M05 [2009M05],99.56471561,9.4,80.20418116
2009M06 [2009M06],99.63514263,9.5,82.06289344
2009M07 [2009M07],99.66558527,9.5,82.89132744
2009M08 [2009M08],99.77735976,9.6,89.53157549
2009M09 [2009M09],100.0231728,9.8,92.01369953
2009M10 [2009M10],100.2930673,10,94.13735236
2009M11 [2009M11],100.1354016,9.9,97.67285562
2009M12 [2009M12],99.97228356,9.9,99.63908669
2010M01 [2010M01],100,9.8,100
2010M02 [2010M02],100.2344538,9.8,97.54824583
2010M03 [2010M03],100.4420999,9.9,101.9700009
2010M04 [2010M04],100.4907173,9.9,105.5476965
2010M05 [2010M05],100.5029852,9.6,100.2765312
2010M06 [2010M06],100.5356997,9.4,97.02071453
2010M07 [2010M07],100.5325191,9.4,97.62212503
2010M08 [2010M08],100.6656489,9.5,98.84599193
2010M09 [2010M09],100.8274038,9.5,101.2112318
2010M10 [2010M10],100.9055551,9.4,105.474521
2010M11 [2010M11],100.9046464,9.8,106.9435704
2010M12 [2010M12],100.7765146,9.3,109.492882
2011M01 [2011M01],100.9500831,9.1,112.7123038
2011M02 [2011M02],101.3290259,9,116.4141596
2011M03 [2011M03],101.6375417,9,115.3777584
2011M04 [2011M04],101.8320111,9.1,118.7527182
2011M05 [2011M05],102.0210281,9,120.1385753
2011M06 [2011M06],102.1832375,9.1,115.5289633
2011M07 [2011M07],102.3072799,9,119.4923539
2011M08 [2011M08],102.629881,9,108.1688792
2011M09 [2011M09],102.8184437,9,106.7252672
2011M10 [2011M10],103.0247267,8.8,109.9768142
2011M11 [2011M11],103.0774334,8.6,112.7310442
2011M12 [2011M12],103.0233636,8.5,115.3224291
2012M01 [2012M01],103.2491844,8.3,119.8606629
2012M02 [2012M02],103.5345274,8.3,123.0900574
2012M03 [2012M03],103.9298274,8.2,124.9085201
2012M04 [2012M04],104.1879084,8.2,124.4433314
2012M05 [2012M05],104.3237643,8.2,121.4859969
2012M06 [2012M06],104.4496242,8.2,119.8034849
2012M07 [2012M07],104.4559854,8.2,122.37431
2012M08 [2012M08],104.5936588,8.1,125.4379477
2012M09 [2012M09],104.8590097,7.8,128.1462796
2012M10 [2012M10],105.0843761,7.8,127.7847828
2012M11 [2012M11],105.0784693,7.7,123.1606592
2012M12 [2012M12],104.9739647,7.9,125.5265704
2013M01 [2013M01],105.2370437,8,130.0259474
2013M02 [2013M02],105.6096253,7.7,133.3876057
2013M03 [2013M03],105.8913334,7.5,137.6939553
2013M04 [2013M04],105.9749371,7.6,140.1545159
2013M05 [2013M05],106.0776242,7.5,144.8938933
2013M06 [2013M06],106.1585017,7.5,143.5910293
2013M07 [2013M07],106.2275656,7.3,146.9760824
2013M08 [2013M08],106.439301,7.2,145.1151401
2013M09 [2013M09],106.6773897,7.2,145.8265488
2013M10 [2013M10],106.8500495,7.2,146.0122986
2013M11 [2013M11],106.8868533,6.9,151.5659576
2013M12 [2013M12],106.7764419,6.7,153.7141928
2014M01 [2014M01],106.9431949,6.6,155.1270884
2014M02 [2014M02],107.2648874,6.7,152.4026799
2014M03 [2014M03],107.6456476,6.7,155.7469316
2014M04 [2014M04],107.9164508,6.2,156.614783
2014M05 [2014M05],108.1527221,6.3,158.2168134
2014M06 [2014M06],108.2108812,6.1,160.8573806
2014M07 [2014M07],108.2022482,6.2,162.2374406
2014M08 [2014M08],108.2740383,6.1,160.202248
2014M09 [2014M09],108.5216688,5.9,163.2866251
2014M10 [2014M10],108.7815672,5.7,159.5023893
2014M11 [2014M11],108.7065965,5.8,168.5472337
2014M12 [2014M12],108.4916805,5.6,169.5524932
2015M01 [2015M01],108.7065965,5.7,167.5280381
2015M02 [2015M02],109.0859937,5.5,171.378177
2015M03 [2015M03],109.5330916,5.4,171.2476566
2015M04 [2015M04],109.867052,5.4,171.617893
2015M05 [2015M05],110.0110866,5.6,173.0904955
2015M06 [2015M06],110.117863,5.3,171.2044342
2015M07 [2015M07],110.1551212,5.2,169.9419063
2015M08 [2015M08],110.2528103,5.1,162.9377328
2015M09 [2015M09],110.5745027,5,156.0460594
2015M10 [2015M10],110.858937,5,164.0903087
2015M11 [2015M11],110.8998301,5.1,169.2614869
2015M12 [2015M12],110.7653372,5,167.5337681
2016M01 [2016M01],111.1056587,4.9,155.7146955
2016M02 [2016M02],111.6290904,4.9,155.6635687
2016M03 [2016M03],111.9371518,5,165.2349727
2016M04 [2016M04],112.225221,5,170.4131868
2016M05 [2016M05],112.4760321,4.8,168.9611546
2016M06 [2016M06],112.5896241,4.9,169.5584836
2016M07 [2016M07],112.5669057,4.8,175.1577731
2016M08 [2016M08],112.8095381,4.9,176.6285154
2016M09 [2016M09],113.0153667,5,174.4531796
2016M10 [2016M10],113.2366439,4.9,173.6619053
2016M11 [2016M11],113.2407332,4.7,178.5589398
2016M12 [2016M12],113.198477,4.7,188.2530887
2017M01 [2017M01],113.629672,4.7,190.1222922
2017M02 [2017M02],114.1113019,4.6,195.0499984
2017M03 [2017M03],114.178094,4.4,198.8596121
2017M04 [2017M04],114.3380315,4.4,197.5382385
2017M05 [2017M05],114.4257245,4.4,199.9459552
2017M06 [2017M06],114.5070563,4.3,203.5843424
2017M07 [2017M07],114.4716156,4.3,206.1003354
2017M08 [2017M08],114.7097044,4.4,209.2788139
2017M09 [2017M09],114.9282553,4.2,211.7554753
2017M10 [2017M10],115.2449497,4.1,219.9954131
2017M11 [2017M11],115.178612,4.2,224.9775593
2017M12 [2017M12],115.2086003,4.1,234.4077216
2018M01 [2018M01],115.6993175,4.1,246.427637
2018M02 [2018M02],116.2195687,4.1,238.5730493
2018M03 [2018M03],116.5953309,4,234.7590314
2018M04 [2018M04],116.7838936,4,232.104544
2018M05 [2018M05],116.9856329,3.8,234.6669868
2018M06 [2018M06],117.0892288,4,236.7448297
2018M07 [2018M07],117.1664713,3.8,238.5414022
2018M08 [2018M08],117.2323546,3.8,244.7656615
2018M09 [2018M09],117.421826,3.7,250.5212349
2018M10 [2018M10],117.7098952,3.8,244.5684878
2018M11 [2018M11],117.7289787,3.7,241.2196327
2018M12 [2018M12],117.7189826,3.9,227.3422826
2019M01 [2019M01],118.1910708,4,230.7062599
2019M02 [2019M02],118.6418037,3.8,244.5320557
2019M03 [2019M03],118.9698572,3.8,245.6503011
2019M04 [2019M04],119.1952237,3.6,252.1343135
2019M05 [2019M05],119.3124506,3.6,245.8620018
2019M06 [2019M06],119.5791645,3.7,249.8282232
2019M07 [2019M07],119.7559136,3.7,258.7009664
2019M08 [2019M08],120.0298974,3.7,248.8553102
2019M09 [2019M09],120.1902893,3.5,256.8962813
2019M10 [2019M10],120.4342848,3.6,255.3356449
2019M11 [2019M11],120.4565488,3.5,265.4610015
2019M12 [2019M12],120.3779432,3.5,268.9941063
2020M01 [2020M01],120.8636624,3.6,275.8031269
2020M02 [2020M02],121.4379833,3.5,272.3626283
2020M03 [2020M03],121.4579755,4.4,216.1867281
2020M04 [2020M04],120.9022837,14.7,222.4560848
2020M05 [2020M05],120.770517,13.3,231.7875675
2020M06 [2020M06],120.999064,11.1,248.8939399
2020M07 [2020M07],120.999064,11.1,251.8061756